ID,Name,Age,Nationality,Overall,Club,Preferred Foot,Weak Foot,Skill Moves,Position,Height(cm),Weight(kg),Kit Number
190286,Canales,31,Spain,84,Real Betis Balompié,Left,3,4,RM,176,65,10
226754,I. Bennacer,24,Algeria,82,AC Milan,Left,3,4,LCM,175,70,4
212462,Alex Telles,29,Brazil,80,Sevilla FC,Left,2,3,SUB,181,71,3
231969,R. Malinovskyi,29,Ukraine,82,Atalanta,Left,4,4,LF,181,79,18
238744,W. McKennie,23,United States,80,Juventus,Right,3,3,LCM,183,84,14
200145,Casemiro,30,Brazil,89,Real Madrid CF,Right,3,2,CDM,185,84,14
220651,Angeliño,25,Spain,83,TSG Hoffenheim,Left,3,4,LWB,171,69,11
230938,F. Kessié,25,Côte d'Ivoire,84,FC Barcelona,Right,4,3,SUB,183,88,19
200458,L. Digne,28,France,82,Aston Villa,Left,2,3,LB,178,74,27
188545,R. Lewandowski,33,Poland,91,FC Barcelona,Right,4,4,ST,185,81,9
181872,22 A. Vidal,34,Chile,81,Inter,Right,4,3,SUB,180,75,22
240699,N. De la Cruz,25,Uruguay,78,River Plate,Right,4,4,RM,167,65,11
232411,C. Nkunku,24,France,86,RB Leipzig,Right,3,5,SUB,175,73,12
188377,K. Walker,32,United Kingdom,85,Manchester City,Right,2,3,RB,183,83,2
232656,T. Hernández,24,France,85,AC Milan,Left,3,3,LB,184,81,19
186942,İ. Gündoğan,31,Germany,85,Manchester City,Right,4,4,SUB,180,80,8
214097,B. Bourigeaud,28,France,81,Stade Rennais FC,Right,3,3,RW,178,68,14
223697,R. Gosens,27,Germany,82,Inter,Left,3,3,LM,183,76,8
181291,G. Wijnaldum,31,Netherlands,80,Roma,Right,4,3,LCM,175,74,25
219683,C. Tolisso,27,France,81,Olympique Lyonnais,Right,3,3,RCM,181,81,88
202126,H. Kane,28,United Kingdom,89,Tottenham Hotspur,Right,5,3,ST,188,89,10
193747,Koke,30,Spain,83,Atlético de Madrid,Right,4,3,LCM,176,77,6
195479,J. Tavernier,30,United Kingdom,78,Rangers FC,Right,3,3,RB,182,75,2
183711,J. Henderson,32,United Kingdom,83,Liverpool,Right,3,3,RCM,182,80,14
158023,L. Messi,35,Argentina,91,Paris Saint-Germain,Left,4,4,RW,169,67,30
199556,M. Verratti,29,Italy,87,Paris Saint-Germain,Right,4,4,RCM,165,60,6
214047,M. Uribe,31,Colombia,81,FC Porto,Right,4,3,RCM,183,77,8
239053,F. Valverde,23,Uruguay,84,Real Madrid CF,Right,4,3,SUB,182,78,15
208722,S. Mané,30,Senegal,89,FC Bayern München,Right,4,4,ST,174,69,17
205632,L. Ocampos,27,Argentina,81,Sevilla FC,Right,3,4,SUB,188,84,5
233927,Lucas Paquetá,24,Brazil,82,Olympique Lyonnais,Left,4,5,LCM,180,72,10
202648,Sergi Darder,28,Spain,82,RCD Espanyol de Barcelona,Right,3,3,CAM,180,71,10
216393,Y. Tielemans,25,Belgium,84,Leicester City,Right,5,4,RDM,176,72,8
209297,Fred,29,Brazil,80,Manchester United,Left,3,4,CDM,169,62,17
218667,Bernardo Silva,27,Portugal,88,Manchester City,Left,3,4,LCM,173,64,20
210035,Grimaldo,26,Spain,82,SL Benfica,Left,2,3,LB,172,67,3
234153,Carlos Soler,25,Spain,83,Valencia CF,Right,4,3,LCM,180,76,10
224458,Diogo Jota,25,Portugal,85,Liverpool,Right,5,4,SUB,178,73,20
252371,J. Bellingham,19,United Kingdom,84,Borussia Dortmund,Right,4,4,LDM,186,75,22
201455,G. Kondogbia,29,Central African Republic,82,Atlético de Madrid,Left,3,3,CDM,188,80,4
186345,K. Trippier,31,United Kingdom,84,Newcastle United,Right,4,3,RB,173,71,2
173210,19 C. Marchisio,31,Italy,84,Juventus,Right,4,3,RES,180,74,8
193283,T. Delaney,30,Denmark,81,Sevilla FC,Left,4,2,SUB,182,79,18
231747,K. Mbappé,23,France,91,Paris Saint-Germain,Right,4,5,ST,182,73,7
269765,S. Obisanya,22,Nigeria,81,AFC Richmond,Right,3,3,RM,185,77,24
183512,Yuri Berchiche,32,Spain,82,Athletic Club de Bilbao,Left,3,3,LB,181,80,17
193165,J. Corona,29,Mexico,81,Sevilla FC,Right,5,5,RW,173,66,9
235008,L. Robertone,25,Argentina,76,Unión Deportiva Almería,Right,4,4,LCM,175,70,5
204923,M. Sabitzer,28,Austria,80,FC Bayern München,Right,4,3,SUB,178,76,18
208128,H. Çalhanoğlu,28,Turkey,84,Inter,Right,4,4,LCM,178,76,20
224293,Rúben Neves,25,Portugal,83,Wolverhampton Wanderers,Right,4,3,RCM,180,80,8
173030,Ó. Trejo,34,Argentina,79,Rayo Vallecano,Right,4,3,CAM,180,79,8
211748,K. Demirbay,28,Germany,81,Bayer 04 Leverkusen,Left,4,4,LDM,183,71,10
209889,R. Guerreiro,28,Portugal,82,Borussia Dortmund,Left,2,4,LB,170,71,13
234396,A. Davies,21,Canada,84,FC Bayern München,Left,4,4,LB,185,77,19
172522,D. Wass,33,Denmark,79,Atlético de Madrid,Right,3,3,SUB,181,74,24
240679,T. Koopmeiners,24,Netherlands,80,Atalanta,Left,2,3,LCM,183,77,7
201519,J. Veretout,29,France,79,Olympique de Marseille,Right,3,3,SUB,177,67,27
195864,P. Pogba,29,France,85,Juventus,Right,4,5,RES,191,84,10
146536,Jesús Navas,36,Spain,83,Sevilla FC,Right,2,4,RB,172,60,16
210243,Ricardo Pereira,28,Portugal,83,Leicester City,Right,4,3,RB,175,70,21
209499,Fabinho,28,Brazil,87,Liverpool,Right,2,3,CDM,188,78,3
208421,Saúl,27,Spain,80,Atlético de Madrid,Left,4,3,SUB,184,75,17
231478,L. Martínez,24,Argentina,86,Inter,Right,4,4,LS,174,72,10
189513,Parejo,33,Spain,86,Villarreal CF,Right,4,3,LCM,182,74,5
226226,G. Lo Celso,26,Argentina,81,Tottenham Hotspur,Left,3,4,RES,177,68,18
201942,Roberto Firmino,30,Brazil,83,Liverpool,Right,4,5,SUB,181,76,9
201389,C. Biraghi,29,Italy,80,Fiorentina,Left,3,3,LB,185,78,3
20801,Cristiano Ronaldo,37,Portugal,90,Manchester United,Right,4,5,ST,187,83,7
228618,F. Mendy,27,France,83,Real Madrid CF,Left,5,4,LB,180,73,23
190871,Neymar Jr,30,Brazil,89,Paris Saint-Germain,Right,5,5,LW,175,68,10
173731,G. Bale,32,Wales,81,Los Angeles FC,Left,3,4,RS,185,82,11
212242,R. Andrich,27,Germany,81,Bayer 04 Leverkusen,Right,4,3,RDM,187,83,8
225375,K. Laimer,25,Austria,83,RB Leipzig,Right,3,3,LDM,180,72,20
188350,M. Reus,33,Germany,85,Borussia Dortmund,Right,4,4,CAM,180,71,11
206511,M. Arnold,28,Germany,80,VfL Wolfsburg,Left,2,3,RDM,184,74,27
215914,N. Kanté,31,France,89,Chelsea,Right,3,2,RCM,168,70,7
216267,A. Robertson,28,Scotland,87,Liverpool,Left,2,3,LB,178,64,26
203551,A. Florenzi,31,Italy,79,AC Milan,Right,4,3,SUB,173,67,25
13743,17 S. Gerrard,36,United Kingdom,81,LA Galaxy,Right,3,3,RES,183,83,8
208418,Y. Carrasco,28,Belgium,85,Atlético de Madrid,Right,4,4,LM,185,73,21
212523,Anderson Talisca,28,Brazil,82,Al Nassr,Left,4,4,CF,190,80,94
208618,Lucas Vázquez,31,Spain,81,Real Madrid CF,Right,4,4,SUB,173,70,17
188152,Oscar,30,Brazil,81,Shanghai Port FC,Right,3,4,SUB,179,70,8
251573,Renan Lodi,24,Brazil,80,Atlético de Madrid,Left,3,4,SUB,173,68,12
195272,M. Faraoni,30,Italy,78,Hellas Verona,Right,4,3,RM,180,71,5
205686,T. Savanier,30,France,81,Montpellier Hérault SC,Right,5,4,CAM,172,69,11
212207,N. Stanciu,29,Romania,79,Wuhan Three Towns,Right,4,4,LCM,170,63,43
207439,L. Paredes,28,Argentina,80,Paris Saint-Germain,Right,4,4,RES,180,75,8
205569,J. Ward-Prowse,27,United Kingdom,81,Southampton,Right,3,3,RCM,173,66,8
215071,M. Casco,34,Argentina,77,River Plate,Right,5,3,RB,170,69,20
178518,R. Nainggolan,34,Belgium,76,Royal Antwerp FC,Right,3,3,RCM,177,89,4
165153,K. Benzema,34,France,91,Real Madrid CF,Right,4,4,CF,185,81,9
182521,T. Kroos,32,Germany,88,Real Madrid CF,Right,5,3,LCM,183,76,8
121939,17 P. Lahm,32,Germany,88,FC Bayern München,Right,3,3,RB,170,66,21
178562,É. Banega,34,Argentina,81,Al Shabab,Right,4,4,RCM,176,78,10
243576,Pedro Porro,22,Spain,81,Sporting CP,Right,3,3,RWB,173,69,24
236791,A. Barák,27,Czech Republic,81,Hellas Verona,Left,3,4,RF,190,86,7
209989,T. Partey,29,Ghana,84,Arsenal,Right,3,3,RCM,185,77,5
241637,A. Tchouaméni,22,France,82,Real Madrid CF,Right,3,3,SUB,187,81,18
183898,Á. Di María,34,Argentina,84,Juventus,Left,2,5,RW,180,69,22
164169,19 Filipe Luís,32,Brazil,85,Atlético de Madrid,Left,3,3,LB,182,74,3
207410,M. Kovačić,28,Croatia,84,Chelsea,Right,4,4,SUB,176,80,8
200104,H. Son,29,Korea Republic,89,Tottenham Hotspur,Right,5,4,LW,183,78,7
189596,T. Müller,32,Germany,87,FC Bayern München,Right,4,3,CAM,185,76,25
214997,Á. Correa,27,Argentina,83,Atlético de Madrid,Right,4,4,SUB,171,70,10
192638,Marcos Alonso,31,Spain,79,Chelsea,Left,3,3,SUB,188,85,3
155862,Sergio Ramos,36,Spain,84,Paris Saint-Germain,Right,3,3,RCB,184,82,4
180206,M. Pjanić,32,Bosnia and Herzegovina,81,FC Barcelona,Right,4,3,SUB,178,72,16
226162,E. Buendía,25,Argentina,80,Aston Villa,Right,4,4,SUB,172,65,10
189125,G. Bonaventura,32,Italy,78,Fiorentina,Right,3,4,RCM,181,75,5
135455,16 Maicon,33,Brazil,77,Roma,Right,3,2,SUB,184,77,13
217870,G. Di Lorenzo,28,Italy,82,Napoli,Right,3,3,RB,183,83,22
236480,Y. Bissouma,25,Mali,81,Tottenham Hotspur,Right,3,4,SUB,182,80,38
171877,M. Hamšík,34,Slovakia,80,Trabzonspor,Right,5,4,LCM,183,73,17
176676,22 Marcelo,33,Brazil,79,Real Madrid CF,Left,4,5,SUB,174,75,12
189362,21 Hulk,33,Brazil,80,Shanghai Port FC,Left,3,4,LW,180,85,10
171579,Raúl García,35,Spain,80,Athletic Club de Bilbao,Right,3,3,SUB,184,83,22
231866,Rodri,26,Spain,87,Manchester City,Right,4,3,CDM,191,82,16
252060,T. Pobega,22,Italy,76,AC Milan,Left,4,3,SUB,188,78,32
227813,O. Zinchenko,25,Ukraine,79,Arsenal,Left,3,3,LB,175,64,35
247090,E. Fernández,21,Argentina,78,SL Benfica,Right,4,3,LCM,180,77,13
230256,Adryan Zonta,30,Brazil,81,RB Bragantino,Left,4,2,LB,172,68,7
239231,Cucurella,23,Spain,81,Chelsea,Left,3,3,SUB,172,66,32
198164,Jonathan Viera,32,Spain,80,Unión Deportiva Las Palmas,Right,4,4,CAM,171,67,21
168651,I. Rakitić,34,Croatia,82,Sevilla FC,Right,4,3,SUB,184,78,10
203535,T. Vilhena,27,Netherlands,76,RCD Espanyol de Barcelona,Left,4,3,SUB,175,70,19
215798,M. Cornet,25,Côte d'Ivoire,78,West Ham United,Left,4,3,SUB,179,69,14
233419,Raphinha,25,Brazil,83,FC Barcelona,Left,4,4,SUB,176,68,22
230658,Arthur,25,Brazil,80,Juventus,Right,3,4,SUB,171,73,5
146562,21 Santi Cazorla,35,Spain,82,,Right,5,4,SUB,168,65,20
205498,Jorginho,30,Italy,85,Chelsea,Right,3,3,LCM,180,68,5
210881,J. McGinn,27,Scotland,79,Aston Villa,Left,2,3,RCM,178,68,7
236496,M. Guendouzi,23,France,80,Olympique de Marseille,Right,3,4,LCM,185,68,6
198031,Sérgio Oliveira,30,Portugal,79,Galatasaray SK,Right,4,3,RCM,181,78,27
210008,A. Rabiot,27,France,80,Juventus,Left,3,3,SUB,192,80,25
203483,D. Klaassen,29,Netherlands,79,Ajax,Right,3,3,SUB,179,70,6
216594,N. Fekir,28,France,85,Real Betis Balompié,Left,4,4,CAM,173,75,8
210406,P. Zieliński,28,Poland,83,Napoli,Right,5,4,LCM,180,75,20
192883,H. Mkhitaryan,33,Armenia,81,Inter,Right,5,4,SUB,177,75,22
248243,E. Camavinga,19,France,79,Real Madrid CF,Left,3,4,SUB,182,68,16
226271,Fabián,26,Spain,83,Napoli,Left,3,4,RCM,189,70,8
138412,J. Milner,36,United Kingdom,78,Liverpool,Right,4,3,SUB,175,70,7
191740,Ander Herrera,32,Spain,79,Paris Saint-Germain,Right,4,3,SUB,182,71,21
156519,H. Herrera,32,Mexico,80,Houston Dynamo,Right,4,3,LCM,185,78,16
246191,J. Álvarez,22,Argentina,78,Manchester City,Right,4,4,SUB,173,71,19
240709,R. Baku,24,Germany,80,VfL Wolfsburg,Right,4,3,RB,176,75,20
223874,V. Rongier,27,France,78,Olympique de Marseille,Right,4,3,RCM,172,70,21
239085,E. Haaland,21,Norway,88,Manchester City,Left,3,3,ST,195,94,9
222077,M. Locatelli,24,Italy,82,Juventus,Right,4,3,CDM,185,75,27
239301,L. Martínez,24,Argentina,81,Manchester United,Left,3,3,SUB,178,77,6
229752,D. Sow,25,Switzerland,80,Eintracht Frankfurt,Right,4,3,RCM,184,76,8
184943,19 Ramires,31,Brazil,80,Jiangsu FC,Right,3,4,SUB,179,69,7
233064,M. Mount,23,United Kingdom,84,Chelsea,Right,4,3,RW,180,74,19
189271,F. Coquelin,31,France,80,Villarreal CF,Right,4,3,SUB,176,74,19
199304,Danilo,30,Brazil,80,Juventus,Right,4,3,SUB,184,78,6
221363,D. van de Beek,25,Netherlands,79,Manchester United,Right,3,3,SUB,184,74,34
208830,J. Vardy,35,United Kingdom,85,Leicester City,Right,4,3,ST,179,74,9
216320,S. Fofana,27,Côte d'Ivoire,81,Racing Club de Lens,Right,4,4,LCM,185,74,8
253727,L. Provod,25,Czech Republic,75,SK Slavia Praha,Left,4,3,SUB,189,84,17
203376,V. van Dijk,30,Netherlands,90,Liverpool,Right,3,2,LCB,193,92,4
229927,Gerson,25,Brazil,78,Olympique de Marseille,Left,3,3,RF,184,76,8
233029,R. Aliendro,31,Argentina,76,River Plate,Right,3,4,RCM,173,72,27
146954,18 Gabi,33,Spain,81,Atlético de Madrid,Right,3,2,RCM,181,74,14
210411,Otávio,27,Portugal,82,FC Porto,Right,3,4,RM,171,67,25
200610,K. Volland,29,Germany,82,AS Monaco,Left,4,3,SUB,179,85,31
223273,M. Pašalić,27,Croatia,81,Atalanta,Right,4,4,RF,188,82,88
269760,R. Kent,40,United Kingdom,83,AFC Richmond,Left,3,3,LCM,182,82,6
225201,Álex Berenguer,26,Spain,80,Athletic Club de Bilbao,Right,4,3,SUB,175,73,7
234568,Gedson Fernandes,23,Portugal,77,Beşiktaş JK,Right,3,3,LDM,181,71,83
223959,L. Torreira,26,Uruguay,81,Galatasaray SK,Right,3,3,LCM,166,60,5
227236,A. Zambo Anguissa,26,Cameroon,81,Napoli,Right,3,3,CDM,184,78,99
222558,R. Karsdorp,27,Netherlands,80,Roma,Right,3,3,RM,184,80,2
208461,M. de Roon,31,Netherlands,80,Atalanta,Right,3,3,RCM,185,76,15
211093,C. McGregor,29,Scotland,77,Celtic,Left,4,4,CDM,178,74,42
162347,João Moutinho,35,Portugal,81,Wolverhampton Wanderers,Right,4,3,LCM,170,61,28
162240,22 M. Dembélé,33,Belgium,79,Guangzhou City,Left,2,4,LCM,185,85,8
247851,Bruno Guimarães,24,Brazil,81,Newcastle United,Right,2,3,CDM,182,74,39
242444,João Félix,22,Portugal,84,Atlético de Madrid,Right,4,5,LS,181,70,7
184200,M. Arnautović,33,Austria,82,Bologna,Right,4,4,ST,192,83,9
231943,Richarlison,25,Brazil,81,Tottenham Hotspur,Right,5,4,SUB,181,71,9
222665,M. Ødegaard,23,Norway,84,Arsenal,Left,2,5,CAM,178,68,8
251854,Pedri,19,Spain,85,FC Barcelona,Right,4,4,LCM,174,61,8
208135,A. Doucouré,29,Mali,79,Everton,Right,3,3,RCM,184,76,16
208093,Gerard Moreno,30,Spain,85,Villarreal CF,Left,4,3,RS,180,77,7
213648,P. Højbjerg,26,Denmark,83,Tottenham Hotspur,Right,4,3,LCM,187,84,5
216189,Capa,30,Spain,77,Athletic Club de Bilbao,Right,3,3,SUB,175,75,21
135507,22 Fernandinho,36,Brazil,81,Manchester City,Right,4,3,SUB,179,67,25
204539,L. Advíncula,32,Peru,76,Boca Juniors,Right,3,3,RB,180,80,17
211110,P. Dybala,28,Argentina,86,Roma,Left,3,4,LF,177,75,21
227535,R. Bentancur,25,Uruguay,79,Tottenham Hotspur,Right,4,4,RCM,187,73,30
199434,D. Tadić,33,Serbia,84,Ajax,Left,3,4,ST,181,76,10
251116,T. Holeš,29,Czech Republic,78,SK Slavia Praha,Right,4,2,RDM,180,73,3
229984,B. Chilwell,25,United Kingdom,82,Chelsea,Left,3,3,LWB,180,77,21
169051,19 F. Guarín,32,Colombia,74,Shanghai Shenhua FC,Right,4,3,LDM,183,80,13
202884,L. Spinazzola,29,Italy,82,Roma,Right,4,4,LM,186,75,37
216036,R. Delgado,32,Argentina,73,Club Atlético Colón,Left,3,3,SUB,178,70,40
204963,Carvajal,30,Spain,84,Real Madrid CF,Right,3,3,RB,173,73,2
236401,N. Mazraoui,24,Morocco,82,FC Bayern München,Right,3,3,RB,183,62,40
197965,22 Pizzi,31,Portugal,79,İstanbul Başakşehir FK,Right,4,3,SUB,177,72,20
198784,A. Oxlade-Chamberlain,28,United Kingdom,77,Liverpool,Right,4,4,SUB,175,70,15
208141,Gabriel,28,Brazil,75,SL Benfica,Left,5,3,RES,187,83,8
10535,15 Xavi,34,Spain,86,FC Barcelona,Right,3,3,SUB,170,67,6
205070,Portu,30,Spain,78,Getafe CF,Right,4,3,RM,167,66,9
247030,P. Ševčík,28,Czech Republic,75,SK Slavia Praha,Right,4,3,SUB,172,66,23
253124,Matheus Nunes,23,Portugal,79,Sporting CP,Right,3,3,LCM,183,76,8
193061,R. Pereyra,31,Argentina,78,Udinese Calcio,Right,4,4,CM,182,77,37
226807,C. Roldan,27,United States,75,Seattle Sounders FC,Right,4,3,SUB,173,75,14
190717,M. Antonio,32,Jamaica,79,West Ham United,Right,3,4,ST,178,82,9
199451,W. Ben Yedder,31,France,84,AS Monaco,Right,5,4,ST,170,68,10
202652,R. Sterling,27,United Kingdom,86,Chelsea,Right,3,4,ST,170,69,17
210315,De Tomás,27,Spain,83,RCD Espanyol de Barcelona,Right,4,4,ST,180,79,11
269770,R. Montlaur,27,France,77,AFC Richmond,Left,4,4,SUB,176,70,8
246104,R. Gravenberch,20,Netherlands,79,FC Bayern München,Right,4,4,SUB,190,79,38
197083,D. Caligiuri,34,Italy,75,FC Augsburg,Right,4,3,RM,182,80,20
246669,B. Saka,20,United Kingdom,82,Arsenal,Left,3,3,RM,178,65,7
230183,Gerson Armão,22,Brazil,78,Internacional,Left,5,3,LB,186,73,4
191043,Alex Sandro,31,Brazil,80,Juventus,Left,3,3,LB,180,80,12
187072,L. Stindl,33,Germany,79,Borussia Mönchengladbach,Right,4,4,CAM,181,80,13
224081,K. Phillips,26,United Kingdom,81,Manchester City,Right,3,3,SUB,178,72,4
239732,S. Żurkowski,24,Poland,76,Fiorentina,Right,3,3,SUB,185,77,21
199042,C. Aránguiz,33,Chile,80,Bayer 04 Leverkusen,Right,4,3,SUB,171,68,20
230251,Melvin Parrela,22,Brazil,79,RB Bragantino,Right,3,2,SUB,188,88,20
243231,E. Mwepu,24,Zambia,76,Brighton & Hove Albion,Right,3,3,LDM,184,76,8
230481,Ronaldo Cabrais,30,Brazil,83,Palmeiras,Right,4,4,RM,177,75,10
208450,Andreas Pereira,26,Brazil,76,Fulham,Right,4,4,CAM,177,70,18
226491,K. Tierney,25,Scotland,81,Arsenal,Left,3,3,SUB,178,70,3
202371,T. Meunier,30,Belgium,78,Borussia Dortmund,Right,4,3,RB,191,90,24
193352,R. Rodríguez,29,Switzerland,74,Torino F.C.,Left,3,3,LCB,182,77,13
217036,Álex Moreno,29,Spain,80,Real Betis Balompié,Left,3,3,LB,179,68,15
237520,22 M. Camara,24,Guinea,75,Olympiacos CFP,Right,3,4,SUB,182,75,4
240471,22 F. Gorriarán,26,Uruguay,77,Santos Laguna,Right,4,3,RCM,168,68,11
239093,J. Clauss,29,France,80,Olympique de Marseille,Right,3,3,RM,178,69,7
195861,Y. Rakitskyi,32,Ukraine,79,Adana Demirspor,Left,3,3,LCB,185,83,44
226268,F. Dimarco,24,Italy,78,Inter,Left,2,3,SUB,175,75,32
237238,S. McTominay,25,Scotland,80,Manchester United,Right,3,3,RCM,193,88,39
210324,J. Hofmann,29,Germany,81,Borussia Mönchengladbach,Right,4,3,RM,176,73,23
171897,A. Guardado,35,Mexico,77,Real Betis Balompié,Left,2,3,LDM,169,67,18
190875,22 J. Kucka,34,Slovakia,75,Watford,Right,4,3,LCM,186,84,33
183498,21 M. Parolo,35,Italy,79,Lazio,Right,4,3,SUB,184,75,16
201400,Rafinha,29,Brazil,78,Paris Saint-Germain,Left,4,4,RES,174,71,12
238067,N. Zaniolo,22,Italy,81,Roma,Left,3,4,RF,190,75,22
193474,I. Gueye,32,Senegal,82,Paris Saint-Germain,Right,3,3,SUB,174,66,27
210896,M. Sanson,27,France,76,Aston Villa,Right,4,4,SUB,180,73,8
247394,D. Kulusevski,22,Sweden,81,Tottenham Hotspur,Left,3,4,RW,186,75,21
224030,M. Lopez,24,France,78,U.S. Sassuolo Calcio,Right,3,4,LDM,167,58,27
146530,22 Dani Alves,38,Brazil,77,FC Barcelona,Right,3,4,RB,172,70,8
212404,F. Bernardeschi,28,Italy,79,Toronto FC,Left,3,4,SUB,185,77,20
178213,E. Capoue,33,France,80,Villarreal CF,Right,3,3,RCM,190,80,6
211688,Gayà,27,Spain,82,Valencia CF,Left,3,4,LB,172,66,14
200949,Lucas Moura,29,Brazil,80,Tottenham Hotspur,Right,4,4,SUB,174,70,27
220697,J. Maddison,25,United Kingdom,82,Leicester City,Right,4,4,CAM,175,73,10
210739,C. Nielsen,28,Denmark,76,Club Brugge KV,Right,3,3,CDM,182,76,27
231913,F. Aursnes,26,Norway,78,Feyenoord,Right,3,3,RCM,179,71,8
216475,Morales,34,Spain,80,Villarreal CF,Right,4,4,LS,180,70,20
243245,O. Kökçü,21,Turkey,79,Feyenoord,Right,5,3,LCM,175,68,10
202556,M. Depay,28,Netherlands,85,FC Barcelona,Right,3,5,LW,176,78,6
206006,E. Alioski,30,North Macedonia,74,Fenerbahçe SK,Left,2,3,SUB,172,63,6
240950,Pedro Gonçalves,24,Portugal,81,Sporting CP,Right,4,4,RW,173,77,28
231318,R. Perraud,24,France,76,Southampton,Left,2,3,SUB,173,68,15
223154,O. Tufan,27,Turkey,74,Hull City,Right,3,3,CAM,179,80,7
189575,Muniain,29,Spain,84,Athletic Club de Bilbao,Right,3,4,LM,170,66,10
213242,A. Tameze,28,France,77,Hellas Verona,Right,3,3,RCM,180,78,61
226790,W. Ndidi,25,Nigeria,84,Leicester City,Right,4,3,RES,183,74,25
190674,B. André,31,France,79,LOSC Lille,Right,3,3,RDM,180,74,21
212269,R. Bazoer,25,Netherlands,77,AZ Alkmaar,Right,4,3,SUB,184,74,25
230065,S. Serdar,25,Germany,77,Hertha BSC,Right,3,4,LCM,184,75,8
220971,N. Keïta,27,Guinea,81,Liverpool,Right,4,4,SUB,172,64,8
230337,Andeson Trigo,34,Brazil,77,Fluminense,Left,3,3,LM,175,68,18
235173,I. Sangaré,24,Côte d'Ivoire,81,PSV,Right,4,3,CDM,191,77,6
196432,E. Pérez,36,Argentina,78,River Plate,Right,4,3,CDM,178,77,24
222492,L. Sané,26,Germany,84,FC Bayern München,Left,2,4,SUB,183,80,10
242577,R. Faivre,23,France,78,Olympique Lyonnais,Left,3,4,SUB,180,69,15
202642,Fernando,30,Brazil,78,Antalyaspor,Right,3,4,RCM,173,66,8
229758,R. Krunić,28,Bosnia and Herzegovina,77,AC Milan,Right,3,3,SUB,184,74,33
225663,A. Golovin,26,Russia,79,AS Monaco,Right,4,4,LM,180,69,17
234741,G. Hamer,25,Netherlands,74,Coventry City,Right,3,3,RCM,169,61,38
220018,A. Rebić,28,Croatia,80,AC Milan,Right,4,4,SUB,185,78,12
221174,M. Oršić,29,Croatia,77,Dinamo Zagreb,Right,4,3,LW,179,69,99
199823,Campaña,29,Spain,78,Levante Unión Deportiva,Right,3,4,SUB,179,70,25
207984,22 A. González,26,Mexico,74,CF Monterrey ,Left,2,3,LM,170,79,21
242201,Luis Milla,27,Spain,79,Getafe CF,Right,3,3,SUB,175,67,5
